spec,estimator,contrast,point,ci_low,ci_high,boot_draws
arc|uniform,r_excess,marginal,-0.0681313816727449,-0.08675554723171568,-0.0493301594752287,2000
arc|uniform,r_excess,n_matched,0.012200988726468824,-0.008467380143403808,0.03123918854005181,2000
arc|uniform,z,marginal,-0.4583178580219897,-0.5045595957996784,-0.41344996445986254,2000
arc|uniform,z,n_matched,0.1327081650375095,0.06416032850882447,0.1913720420997284,2000
arc|uniform,ppc,marginal,-0.043206285347385895,-0.05834600324488735,-0.027412640186652387,2000
arc|uniform,ppc,n_matched,0.0027272143838061123,-0.01459188912845277,0.01923597920638074,2000
arc|uniform,rayleigh_z,marginal,-0.5798584892629413,-0.6343892284810407,-0.5276491125184226,2000
arc|uniform,rayleigh_z,n_matched,0.18700645840101043,0.08595009062118154,0.2766429464319094,2000
arc|uniform,pit_probit,marginal,-0.39875387168394427,-0.44232515076594636,-0.3555787625076683,2000
arc|uniform,pit_probit,n_matched,0.11235614965393492,0.048997161980185236,0.16419837448052604,2000
arc|occupancy,r_excess,marginal,-0.05007755390158448,-0.07269026660521177,-0.02708543127446676,2000
arc|occupancy,r_excess,n_matched,0.018199428675838365,-0.007789578343015315,0.042102018145443586,2000
arc|occupancy,z,marginal,-0.05092467229903884,-0.08664990370255811,-0.01647684224326577,2000
arc|occupancy,z,n_matched,0.09107091193798321,0.037891155625951425,0.13736755075601337,2000
arc|occupancy,ppc,marginal,-0.043206285347385895,-0.05834600324488735,-0.027412640186652387,2000
arc|occupancy,ppc,n_matched,0.0027272143838061123,-0.01459188912845277,0.01923597920638074,2000
arc|occupancy,rayleigh_z,marginal,-0.5798584892629413,-0.6343892284810407,-0.5276491125184226,2000
arc|occupancy,rayleigh_z,n_matched,0.18700645840101043,0.08595009062118154,0.2766429464319094,2000
arc|occupancy,pit_probit,marginal,-0.047593223952890465,-0.08240379438296735,-0.013909474002527929,2000
arc|occupancy,pit_probit,n_matched,0.09224905822463013,0.03898000313726696,0.13695665225359446,2000
arc|speed,r_excess,marginal,-0.06440692600259512,-0.08360808612821348,-0.04493178662187694,2000
arc|speed,r_excess,n_matched,0.01311290370432769,-0.008299338957797213,0.03286229518422965,2000
arc|speed,z,marginal,-0.33876151959825695,-0.3812095917637217,-0.29734086998219633,2000
arc|speed,z,n_matched,0.1199150992724405,0.05551604265407549,0.17545819160994428,2000
arc|speed,ppc,marginal,-0.043206285347385895,-0.05834600324488735,-0.027412640186652387,2000
arc|speed,ppc,n_matched,0.0027272143838061123,-0.01459188912845277,0.01923597920638074,2000
arc|speed,rayleigh_z,marginal,-0.5798584892629413,-0.6343892284810407,-0.5276491125184226,2000
arc|speed,rayleigh_z,n_matched,0.18700645840101043,0.08595009062118154,0.2766429464319094,2000
arc|speed,pit_probit,marginal,-0.30919279643695097,-0.35155800049683256,-0.26684851802101184,2000
arc|speed,pit_probit,n_matched,0.10756290617692713,0.04617372425068348,0.15896588363545966,2000
arc|permutation,r_excess,marginal,-0.04146240584045255,-0.06409815595602128,-0.018171440505973024,2000
arc|permutation,r_excess,n_matched,0.010637944412156866,-0.01265044968922289,0.03421618190565777,2000
arc|permutation,z,marginal,-0.004139587636334624,-0.03648981538080588,0.02903782605149188,2000
arc|permutation,z,n_matched,0.05347966110351366,0.012358473953895461,0.09556321486932785,2000
arc|permutation,ppc,marginal,-0.043206285347385895,-0.05834600324488735,-0.027412640186652387,2000
arc|permutation,ppc,n_matched,0.0027272143838061123,-0.01459188912845277,0.01923597920638074,2000
arc|permutation,rayleigh_z,marginal,-0.5798584892629413,-0.6343892284810407,-0.5276491125184226,2000
arc|permutation,rayleigh_z,n_matched,0.18700645840101043,0.08595009062118154,0.2766429464319094,2000
arc|permutation,pit_probit,marginal,-0.007057576730915449,-0.036821551880339067,0.02433404199909789,2000
arc|permutation,pit_probit,n_matched,0.05429297583268511,0.012894169531647454,0.09456225506774645,2000
time|uniform,r_excess,marginal,-0.03948505219723944,-0.057624222401324504,-0.021281289858601667,2000
time|uniform,r_excess,n_matched,0.032556306750945466,0.010933995541020277,0.05137315143437322,2000
time|uniform,z,marginal,-0.5579213892374579,-0.6092998042104387,-0.5080179083298308,2000
time|uniform,z,n_matched,0.18080868179507412,0.10051910143339543,0.2399651116722716,2000
time|uniform,ppc,marginal,-0.01898700104674758,-0.03500439560075553,-0.0025121543436079402,2000
time|uniform,ppc,n_matched,0.019019718911364687,-0.0009063331913407241,0.03656588150047152,2000
time|uniform,rayleigh_z,marginal,-0.8628680428394464,-0.9343591991300919,-0.7926006400878157,2000
time|uniform,rayleigh_z,n_matched,0.2645263122731023,0.1287022798011074,0.3685006215683848,2000
time|uniform,pit_probit,marginal,-0.39571256511520947,-0.44610696644529163,-0.3441092948091537,2000
time|uniform,pit_probit,n_matched,0.14751767933938972,0.07526833961305338,0.20361203437021197,2000
time|occupancy,r_excess,marginal,-0.004060034300059176,-0.029472533420549812,0.021885022338235145,2000
time|occupancy,r_excess,n_matched,0.05208210528403207,0.02029682989753898,0.07963848018296922,2000
time|occupancy,z,marginal,0.024917640819471454,-0.011488402723387246,0.05968192815215601,2000
time|occupancy,z,n_matched,0.12817647733049997,0.06804543554865083,0.17362202161044546,2000
time|occupancy,ppc,marginal,-0.01898700104674758,-0.03500439560075553,-0.0025121543436079402,2000
time|occupancy,ppc,n_matched,0.019019718911364687,-0.0009063331913407241,0.03656588150047152,2000
time|occupancy,rayleigh_z,marginal,-0.8628680428394464,-0.9343591991300919,-0.7926006400878157,2000
time|occupancy,rayleigh_z,n_matched,0.2645263122731023,0.1287022798011074,0.3685006215683848,2000
time|occupancy,pit_probit,marginal,0.016966945331677766,-0.018265478294205783,0.05041075822407516,2000
time|occupancy,pit_probit,n_matched,0.12096375699648149,0.06215422512945397,0.16694920651395947,2000
time|permutation,r_excess,marginal,0.017782518006500117,-0.006481259399843642,0.04275895822515445,2000
time|permutation,r_excess,n_matched,0.05013029850444844,0.022734408744387744,0.07671348238014397,2000
time|permutation,z,marginal,0.06365571575714277,0.0324399046570744,0.0945576591857524,2000
time|permutation,z,n_matched,0.09731245537498774,0.05549968648809885,0.1363215401127501,2000
time|permutation,ppc,marginal,-0.01898700104674758,-0.03500439560075553,-0.0025121543436079402,2000
time|permutation,ppc,n_matched,0.019019718911364687,-0.0009063331913407241,0.03656588150047152,2000
time|permutation,rayleigh_z,marginal,-0.8628680428394464,-0.9343591991300919,-0.7926006400878157,2000
time|permutation,rayleigh_z,n_matched,0.2645263122731023,0.1287022798011074,0.3685006215683848,2000
time|permutation,pit_probit,marginal,0.060857962583677316,0.03127640432577187,0.08954716268105896,2000
time|permutation,pit_probit,n_matched,0.09568149784217482,0.054663859980611525,0.13482948893951546,2000
