spec,n,r_excess_lam_coef,r_excess_lam_se,r_excess_lam_p,r_excess_lam_ci_lo,r_excess_lam_ci_hi,r_excess_mean,ppc_lam_coef,ppc_lam_se,ppc_lam_p,ppc_lam_ci_lo,ppc_lam_ci_hi,ppc_mean
zone=terminal,5044,4.477405718231013e-05,7.03103742425133e-05,0.5242513192828822,-9.303174407254862e-05,0.00018257985843716888,0.9973866000999753,6.644453553628603e-05,0.00010262306891316671,0.5173329925882901,-0.00013469298351649275,0.0002675820545890648,0.9962078692647378
zone=near_terminal,3980,-0.0003754656487771654,0.002238878847381923,0.8668173051291994,-0.004763587555394282,0.004012656257839952,0.9186338087880374,-0.0005582037487120509,0.0031419709977035136,0.8589897055217226,-0.006716353744680319,0.005599946247256217,0.885258143503663
zone=interior,7738,0.001111566091807003,0.013119515238456175,0.9324791014266286,-0.024602211270191517,0.026825343453805526,-0.18873809820566287,-0.0005526089791034784,0.010286408259592494,0.9571564567794695,-0.020713598698180104,0.019608380739973147,-0.15122606703733701
whole route (as submitted),10135,0.03758475696109738,0.013580293994261758,0.005647154329889428,0.010967869832878736,0.06420164408931603,0.15744386737191648,0.03607568357006263,0.011956319081293553,0.0025504557707008756,0.012641728783058241,0.059509638357067025,0.10057516559557415
interior only (10-90%),7738,0.001111566091807003,0.013119515238456175,0.9324791014266286,-0.024602211270191517,0.026825343453805526,-0.18873809820566287,-0.0005526089791034784,0.010286408259592494,0.9571564567794695,-0.020713598698180104,0.019608380739973147,-0.15122606703733701
