term,estimate,std_error,z,p_value,ci_low,ci_high
intercept,0.1986873049595463,0.03209919478178375,6.189790937444358,6.024405418969536e-10,0.13577288318725017,0.26160172673184245
initial_headway_cv_std,-0.2917386501545925,0.007082095941028571,-41.1938291409565,0.0,-0.3056195581990085,-0.2778577421101765
lambda_boardings_per_bus_std,0.014898928569743524,0.0066983251761402254,2.224276692749146,0.026129833842036154,0.0017702112245086814,0.028027645914978368
stop_density_per_km_std,-0.0041875959668167245,0.03527978810162014,-0.11869674372064663,0.9055156164450264,-0.0733359806459922,0.06496078871235875
route_length_km_std,0.03020639655846204,0.03285500674168826,0.9193848838915162,0.3578942930046167,-0.034189416655246954,0.09460220977217103
sinuosity_std,0.022100491666310777,0.03311066556962743,0.6674734949026111,0.5044697344177833,-0.042796412850158984,0.08699739618278055
N_std,0.08269259002568906,0.008182579676503134,10.10593153930988,0.0,0.06665473385974291,0.09873044619163521
hour_sin,-0.03863587884307934,0.007562901854389705,-5.108605081349042,3.245458928269329e-07,-0.05345916647768316,-0.02381259120847552
hour_cos,0.0065698655329426234,0.012237996068362931,0.536841611669309,0.5913770256055819,-0.017416606761048718,0.03055633782693397
weekend,-0.07639435317988964,0.01569832804751698,-4.8664006095842165,1.1364903593769071e-06,-0.10716307615302292,-0.04562563020675636
rain,0.012193638235742902,0.018786534835616975,0.6490626580387381,0.5162978770989555,-0.02462797004206637,0.04901524651355218
