phase_def,null_kind,estimator,slope_per_log_N,mean_at_N2,mean_at_N10
arc,uniform,r_excess,0.12016082887006935,0.09272113594855726,0.23024413606773514
arc,uniform,z,1.6266535385223642,0.11047948296575122,1.1635679005792607
arc,uniform,ppc,0.05987104695099719,0.08945828132268585,0.13644903423116964
arc,uniform,rayleigh_z,2.7478929602293944,1.0894582813226859,2.2280413080805266
arc,uniform,pit_probit,1.2870662572238074,0.18436492968566226,1.091100057909339
arc,occupancy,r_excess,0.08990269135088792,-0.10290559788076413,-0.017591505787978877
arc,occupancy,z,0.2739365810354399,-0.10115287957615028,-0.05009421144002308
arc,occupancy,ppc,0.05987104695099719,0.08945828132268585,0.13644903423116964
arc,occupancy,rayleigh_z,2.7478929602293944,1.0894582813226859,2.2280413080805266
arc,occupancy,pit_probit,0.26869291153836206,-0.1056249665429286,-0.04196600211277683
arc,speed,r_excess,0.11362206813899732,0.06565479004140463,0.19648570106462224
arc,speed,z,1.1278797005617212,0.07586722247215566,0.881946682680963
arc,speed,ppc,0.05987104695099719,0.08945828132268585,0.13644903423116964
arc,speed,rayleigh_z,2.7478929602293944,1.0894582813226859,2.2280413080805266
arc,speed,pit_probit,1.027317209316434,0.13886564262720558,0.8460506194834503
arc,permutation,r_excess,-0.015417092778274034,-0.12134259016548363,-0.08117257861787192
arc,permutation,z,-0.19505820696749332,-0.12673375666926345,-0.23802256887208884
arc,permutation,ppc,0.05987104695099719,0.08945828132268585,0.13644903423116964
arc,permutation,rayleigh_z,2.7478929602293944,1.0894582813226859,2.2280413080805266
arc,permutation,pit_probit,-0.1897101034770163,-0.17929346060418017,-0.22932376120869058
time,uniform,r_excess,0.13941664614437776,0.2655312693050107,0.31992222339532755
time,uniform,z,2.2877640551491645,0.31638694936107165,1.6167674720507912
time,uniform,ppc,0.07901957909878884,0.2637962672282029,0.2078471943517084
time,uniform,rayleigh_z,4.764037871764579,1.2637962672282028,2.8706247491653754
time,uniform,pit_probit,1.3760690206350958,0.8708291420940136,1.4832166495737966
time,occupancy,r_excess,0.1285823383087894,-0.0051333492762716355,-0.07496627426526022
time,occupancy,z,0.3902154920610509,-0.004435391870269459,-0.17234889359300554
time,occupancy,ppc,0.07901957909878884,0.2637962672282029,0.2078471943517084
time,occupancy,rayleigh_z,4.764037871764579,1.2637962672282028,2.8706247491653754
time,occupancy,pit_probit,0.3921849105446037,-0.015858230148791067,-0.16859060114782465
time,permutation,r_excess,-0.04448033088355603,-0.0012191159209280064,-0.07586404544268137
time,permutation,z,-0.19039782958717894,-0.014726277485945363,-0.1928054121807364
time,permutation,ppc,0.07901957909878884,0.2637962672282029,0.2078471943517084
time,permutation,rayleigh_z,4.764037871764579,1.2637962672282028,2.8706247491653754
time,permutation,pit_probit,-0.1776572554101016,-0.0687885834081007,-0.20173751418988783
